Country Name,2006
Albania,937000
Andorra,10737000
Armenia,382000
Austria,20269000
Azerbaijan,1194000
Belgium,6995000
Bulgaria,7499000
Bosnia and Herzegovina,256000
Belarus,5276000
Switzerland,7863000
Cyprus,2629000
Germany,23569000
Denmark,26936000
Spain,96152000
Estonia,
Finland,3375000
France,193882000
United Kingdom,32713000
Georgia,983000
Greece,17284000
Croatia,47733000
Hungary,38318000
Ireland,8001000
Iceland,477000
Italy,66353000
Kazakhstan,4707000
Liechtenstein,"5,49E+14"
Lithuania,
Luxembourg,908000
Latvia,4649000
Monaco,313000
Moldova,63000
North Macedonia,202000
Malta,1521000
Montenegro,378000
Netherlands,10739000
Norway,4070000
Poland,65115000
Portugal,11282000
Romania,6037000
San Marino,2136000
Serbia,469000
Slovenia,1617000
Sweden,4729000
Ukraine,21714000
Kosovo,
